headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Iran’s Options for Retaliation Risk Escalating Middle East Crisis,2024-08-01 01:35:27+00:00,"Haniya, Ismail; Khamenei, Ali; Pezeshkian, Masoud; Biden, Joseph R Jr",Iran; Israel; Middle East,Palestinians; Israel-Gaza War (2023- ); United States International Relations; Nuclear Weapons; Assassinations and Attempted Assassinations,Hamas; Hezbollah; Islamic Revolutionary Guards Corps,https://www.nytimes.com/2024/07/31/us/politics/iran-retaliation-risk-middle-east.html,The killing of Hamas’s political leader in Tehran was a humiliating security failure for the Iranian government.,1402
"Muhammad Deif, a Top Hamas Commander, Is Dead, Israel Says",2024-08-01 08:57:17+00:00,"Deif, Muhammad; Sinwar, Yehya",,Israel-Gaza War (2023- ); Palestinians; Defense and Military Forces; Politics and Government,Hamas,https://www.nytimes.com/2024/08/01/world/middleeast/muhammad-deif-hamas-death.html,Mr. Deif has survived several previous Israeli assassination attempts and has been the No. 2 Hamas leader in Gaza. Israel said it killed him in a strike last month in southern Gaza.,833
Pro-Palestinian Groups Seek to Thwart Josh Shapiro’s Chances for Harris’s V.P.,2024-08-01 09:04:19+00:00,"Harris, Kamala D; Shapiro, Josh (1973- )",Pennsylvania; Israel; Gaza Strip,Presidential Election of 2024; Israel-Gaza War (2023- ); United States Politics and Government; Vice Presidents and Vice Presidency (US); Pro-Palestinian Campus Protests (2023- ),Democratic Party,https://www.nytimes.com/2024/08/01/us/politics/shapiro-vp-israel.html,"Gov. Josh Shapiro of Pennsylvania, an observant Jew, is seen as bringing plenty of upsides to the Democratic ticket. But some worry about setting off opposition to the Democratic ticket from pro-Palestinian demonstrators.",1402
"Fears of Wider Mideast Conflict Deepen, With U.S. Seen as ‘Not in Control’",2024-08-01 09:05:02+00:00,"Haniya, Ismail; Shukr, Fuad; Pezeshkian, Masoud; Netanyahu, Benjamin",Israel; Iran; Middle East,Israel-Gaza War (2023- ); Iran-Israel Proxy Conflict; Assassinations and Attempted Assassinations; United States International Relations,Hamas; Hezbollah,https://www.nytimes.com/2024/08/01/world/middleeast/middle-east-israel-iran-hezbollah.html,"American officials said they had no advance warning of the attack on the Hamas leader in Iran, raising worries of a power vacuum that could lead to a broader geopolitical crisis.",1200
"Trump Falsely Questions Harris’s Race, and 9/11 Guilty Pleas",2024-08-01 10:00:38+00:00,"Trump, Donald J; Harris, Kamala D",Iran; Guantanamo Bay Naval Base (Cuba); Israel,"September 11 (2001); Deaths (Fatalities); Terrorism; Israel-Gaza War (2023- ); Murders, Attempted Murders and Homicides; Rumors and Misinformation; Black People; Blacks; Olympic Games (2024)",Hamas,https://www.nytimes.com/2024/08/01/podcasts/trump-harris-9-11.html,"Plus, why so few world records in Paris?",141
"With Strife at Home, Security Concerns Grow for Israeli Olympians in Paris",2024-08-01 11:26:04+00:00,,Israel; Paris (France),Olympic Games; Israel-Gaza War (2023- ); Athletics and Sports,Hezbollah; Hamas,https://www.nytimes.com/2024/08/01/world/middleeast/olympics-paris-israel-security.html,Concerns for the Israeli team — which has been shrouded in protection at every Games since 1972 — have substantially increased since the Oct. 7 terrorist attacks and the war in Gaza.,811
Bomb Smuggled Into Tehran Guesthouse Months Ago Killed Hamas Leader,2024-08-01 13:11:17+00:00,"Haniya, Ismail",Tehran (Iran); Iran; Israel; Gaza Strip,Assassinations and Attempted Assassinations; Israel-Gaza War (2023- ); Espionage and Intelligence Services; Iran-Israel Proxy Conflict; Bombs and Explosives; Terrorism,Hamas; Islamic Revolutionary Guards Corps; Mossad,https://www.nytimes.com/2024/08/01/world/middleeast/how-hamas-leader-haniyeh-killed-iran-bomb.html,"An explosive device hidden in a heavily guarded complex where Ismail Haniyeh was known to stay in Iran was what killed him, according to a Times investigation.",1184
America May Soon Face a Fateful Choice About Iran,2024-08-01 18:31:47+00:00,"Netanyahu, Benjamin; Biden, Joseph R Jr; Khamenei, Ali; Haniya, Ismail",Iran; Israel; Saudi Arabia; Lebanon; Gaza Strip; Syria; Middle East,Israel-Gaza War (2023- ); Iran-Israel Proxy Conflict; Palestinians; United States International Relations,Hamas; Hezbollah,https://www.nytimes.com/2024/08/01/opinion/iran-israel-war.html,What will happen if the conflict between Iran and Israel escalates into a full-blown war?,1512
"Hezbollah Leader Threatens Retaliation Against Israel, Saying Conflict Is in ‘New Phase’",2024-08-01 18:59:17+00:00,"Nasrallah, Hassan",Lebanon; Beirut (Lebanon); Gaza Strip,Israel-Gaza War (2023- ); Palestinians,Hezbollah; Hamas,https://www.nytimes.com/2024/08/01/world/middleeast/hezbollah-israel-retaliation-hassan-nasrallah.html,Nasrallah delivered a televised address at the funeral of a Hezbollah commander who was killed in an Israeli strike in suburban Beirut.,552
Israel Confirms Death of Hamas Commander Amid Funerals for 2 Senior Militants,2024-08-01 21:53:51+00:00,"Deif, Muhammad; Shukr, Fuad; Haniya, Ismail; Khamenei, Ali; Netanyahu, Benjamin",Israel; Gaza Strip; Iran,Israel-Gaza War (2023- ); Assassinations and Attempted Assassinations; Palestinians; Iran-Israel Proxy Conflict,Hamas; Hezbollah,https://www.nytimes.com/2024/08/01/world/middleeast/israel-hamas-muhammad-deif.html,"The Israeli military said it had killed Muhammad Deif, who it called a planner of the Oct. 7 attack on Israel, which would make him the third Iranian-backed militant leader slain in recent days.",1124
