headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Palestinian Fighters in West Bank Seek to Emulate Hamas in Gaza,2024-07-01 09:00:58+00:00,,West Bank; Jenin (West Bank); Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians,"Fatah, Al; Hamas; Palestinian Authority; Palestinian Islamic Jihad",https://www.nytimes.com/2024/07/01/world/middleeast/palestinian-fighters-west-bank.html,"In the towns of Tulkarm and Jenin, armed militants are flocking to more hard-line factions, such as Hamas and Islamic Jihad, while the Israeli military tries to rein them in.",1694
Release of Gazan Hospital Director Draws Outcry in Israel,2024-07-01 11:58:16+00:00,"Netanyahu, Benjamin",Gaza Strip; Israel,Israel-Gaza War (2023- ),Al Shifa Hospital (Gaza Strip); Shin Bet,https://www.nytimes.com/2024/07/01/world/middleeast/shifa-hospital-director-released.html,"Mohammad Abu Salmiya, the director of Al-Shifa Hospital in Gaza City, was released on Monday after more than seven months in Israeli detention without charges.",806
Release of Al-Shifa Hospital’s Director Sets Off Uproar Across Israel,2024-07-01 19:59:53+00:00,"Ben-Gvir, Itamar; Gallant, Yoav; Gantz, Benny; Netanyahu, Benjamin",Gaza Strip; Sde Teiman (Israel),Israel-Gaza War (2023- ),Al Shifa Hospital (Gaza Strip); Hamas; Shin Bet,https://www.nytimes.com/2024/07/02/world/middleeast/gaza-al-shifa-hospital-israel.html,"The Israelis had sought to link the hospital director to Hamas operations at Al-Shifa, and his release after seven months without charges prompted extensive finger-pointing.",740
Israel Releases Al-Shifa Hospital Director After Months of Detention,2024-07-01 21:08:58+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Detainees; Palestinians; Hospitals,Al Shifa Hospital (Gaza Strip),https://www.nytimes.com/video/world/middleeast/100000009549014/al-shifa-director-release-israel-gaza.html,"Mohammad Abu Salmiya, the director of Gaza’s largest hospital, was taken into custody in late November during an Israeli military raid on the facility.",0
Israel Frees Gaza Hospital Chief Held Without Charges for 7 Months,2024-07-01 23:00:11+00:00,"Netanyahu, Benjamin; Gantz, Benny",Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Detainees; Hospitals; Defense and Military Forces; Torture,Al Shifa Hospital (Gaza Strip); Hamas; Shin Bet,https://www.nytimes.com/2024/07/01/world/middleeast/gaza-israel-shifa-hospital.html,"Rights groups denounced the detention of Al-Shifa Hospital’s director and thousands of other Gazans without trial, while Israeli leaders faulted his release as a government failure.",1337
"Israeli Generals, Low on Munitions, Want a Truce in Gaza",2024-07-02 09:09:44+00:00,"Netanyahu, Benjamin",Israel; Gaza Strip; Lebanon,Israel-Gaza War (2023- ); Defense and Military Forces; Peace Process; Kidnapping and Hostages,Hamas; Hezbollah,https://www.nytimes.com/2024/07/02/world/middleeast/israel-military-gaza-cease-fire.html,"Israel’s military leadership wants a cease-fire with Hamas in case a bigger war breaks out in Lebanon, security officials say. It has also concluded that a truce would be the swiftest way to free hostages.",1565
Top U.S. Official Held Talks in Paris on Defusing Israel-Hezbollah Conflict,2024-07-02 18:23:21+00:00,"Blinken, Antony J",Israel; Lebanon,Israel-Gaza War (2023- ),Hezbollah; Brookings Institution; Hamas,https://www.nytimes.com/2024/07/02/world/middleeast/hezbollah-israel-blinken.html,Amos Hochstein’s trip to France comes after comments by Secretary of State Antony J. Blinken that Israel had “effectively lost sovereignty” near the border with Lebanon because of attacks by Hezbollah.,626
"Cuomo, in New Ad, Blasts Pro-Palestinian Demonstrators and Hamas",2024-07-02 18:46:46+00:00,"Cuomo, Andrew M; Cohen, Steven M",New York State; Israel; Gaza Strip,"Political Advertising; Israel-Gaza War (2023- ); Terrorism; War Crimes, Genocide and Crimes Against Humanity; Demonstrations, Protests and Riots; Pro-Palestinian Campus Protests (2023- )","Hamas; Never Again, Now!",https://www.nytimes.com/2024/07/02/nyregion/cuomo-israel-hamas-ad.html,"The one-minute commercial, which was created by a group formed by former Gov. Andrew M. Cuomo, seeks to bring attention to atrocities linked to Hamas.",622
Yale’s New President Pushed Policing as Head of Stony Brook University,2024-07-02 19:35:50+00:00,"McInnis, Maurie",Suffolk County (NY),Colleges and Universities; ACADEMIC FREEDOM; Appointments and Executive Changes; Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- ); Police,Yale University; State University of New York at Stony Brook,https://www.nytimes.com/2024/07/02/us/politics/yale-maurie-mcinnis-police-protest-stony-brook.html,"In her four years at the state university, Maurie McInnis drew criticism from faculty members who said some of her decisions violated academic freedom.",1654
Thousands Flee in Gaza as Israel Orders More Evacuations,2024-07-02 21:00:14+00:00,"Netanyahu, Benjamin",Khan Younis (Gaza Strip); Rafah (Gaza Strip),Israel-Gaza War (2023- ); Evacuations and Evacuees; Palestinians; Defense and Military Forces; Refugees and Displaced Persons,Hamas,https://www.nytimes.com/2024/07/02/world/middleeast/gaza-evacuations-israel.html,"The Israeli military says its campaign will soon become less intense, but Palestinians were once again racing to escape the fighting in southern Gaza, including Khan Younis.",986
What Would a Better Israeli Prime Minister Do?,2024-07-02 23:00:06+00:00,"Netanyahu, Benjamin; Ben-Gvir, Itamar; Sinwar, Yehya; Smotrich, Bezalel (1980- )",Israel; Iran; Gaza Strip; Lebanon,Israel-Gaza War (2023- ); Politics and Government; International Relations; Palestinians; Defense and Military Forces,Hezbollah; Hamas,https://www.nytimes.com/2024/07/02/opinion/israel-netanyahu.html,The leaders who brought Israel into crisis won’t be able to bring it out of it.,895
