headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Here is what to know about the surprise attack on Israel.,2023-10-07 05:35:03+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Defense and Military Forces,,https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-attack.html,Sirens sounded across southern and central Israel early Saturday as salvos of rockets hit Israeli cities and gunmen crossed the border from Gaza.,481
The war could upend Biden’s diplomacy on Saudi-Israel normalization.,2023-10-07 09:02:49+00:00,"Biden, Joseph R Jr; Mohammed bin Salman (1985- )",Saudi Arabia; Israel,Israel-Gaza War (2023- ); Peace Process; International Relations; Palestinians; United States Politics and Government,Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/saudi-israel-gaza-war.html,Many Sau,700
Hamas Attack Has Haunting Echoes of the 1973 Yom Kippur War,2023-10-07 12:28:20+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Arab-Israeli War (1973),Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/for-many-israelis-the-attacks-have-haunting-echoes-of-the-1973-yom-kippur-war.html,"For many Israelis, Hamas’s surprise attack mirrors one carried out 50 years ago, setting off a 19-day war that traumatized the nation.",298
Gaza Has Suffered Under 16-Year Blockade,2023-10-07 14:25:00+00:00,,Israel; Gaza Strip,Palestinians; Israel-Gaza War (2023- ),Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/gaza-blockade-israel.html,"Held in place by Israel and Egypt, the blockade restricts imports to the region and prevents most people from leaving.",415
An Attack From Gaza and an Israeli Declaration of War. Now What?,2023-10-07 16:26:17+00:00,"Netanyahu, Benjamin",Israel; Gaza Strip,Palestinians; Civilian Casualties; Israel-Gaza War (2023- ),Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-war-hamas-palestinians.html,Prime Minister Benjamin Netanyahu is being pressured to launch a full-scale invasion that Israeli leaders have been scrupulously avoiding since 2005.,1286
Israel’s Military Says Hamas Has Taken Hostages,2023-10-07 16:36:00+00:00,,Israel; Gaza Strip,Kidnapping and Hostages; Israel-Gaza War (2023- ); vis-video,Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/hamas-hostages-israel-video.html,"The issue of Israelis in captivity is a deeply emotional and explosive one in Israel, with the government having paid a high price in the past for the return of its citizens.",567
Hospitals and Morgues in Gaza Are Crowded as People Seek Their Loved Ones,2023-10-07 18:05:09+00:00,,Gaza Strip; Israel; Khan Younis (Gaza Strip),Palestinians; Israel-Gaza War (2023- ); Civilian Casualties; Deaths (Fatalities),,https://www.nytimes.com/2023/10/07/world/middleeast/gaza-hospitals-morgues.html,"The Palestinian Health Ministry in Gaza said 198 Palestinians had been killed and 1,610 wounded.",624
Maps: Tracking the Attacks in Israel and Gaza,2023-10-07 18:33:16+00:00,,Israel; Gaza Strip,Maps; Israel-Gaza War (2023- ); vis-video,,https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html,"See where Israel has bulldozed vast areas of Gaza, as its invasion continues to advance south.",0
‘The Children Were Terrified.’ Fear Grips Israel and Gaza,2023-10-07 18:33:51+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Defense and Military Forces; Civilian Casualties,Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/israel-gaza-war-scene.html,"As Hamas launched a surprise attack on southern Israel, Israelis huddled in shelters and Gazans flocked to supermarkets, fearing the Israeli military response.",1262
Israel’s defense failures may change strategy toward Hamas and Gaza.,2023-10-07 18:35:54+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians,Hamas,https://www.nytimes.com/2023/10/07/world/middleeast/israel-defense-hamas-gaza.html,"The broad attack by Palestinian militants, which Hamas viewed as mostly successful, revealed some significant failures.",986
G.O.P. Candidates Use Attacks on Israel to Criticize Biden for His Iran Deal,2023-10-07 18:45:06+00:00,"Trump, Donald J; DeSantis, Ron; Biden, Joseph R Jr",Israel; Gaza Strip; Iran,Israel-Gaza War (2023- ); United States International Relations; United States Politics and Government; Presidential Election of 2024,Hamas; Republican Party,https://www.nytimes.com/2023/10/07/us/politics/republicans-israel-iran-hamas.html,Republicans renewed their opposition to President Biden’s decision to unfreeze $6 billion for humanitarian purposes as part of recent hostage release negotiations.,715
Graphic Images of Violence Flood Social Media Amid Israel-Gaza Conflict,2023-10-07 19:38:46+00:00,,Gaza Strip; Israel,Social Media; Israel-Gaza War (2023- ),,https://www.nytimes.com/2023/10/07/world/middleeast/twitter-x-violence-israel-gaza.html,"There is a long history of misinformation being shared among Israeli and Palestinian groups, with false claims and conspiracy theories rising during moments of heightened violence in the region.",246
Biden Condemns Hamas Attack on Israel,2023-10-07 19:40:57+00:00,"Biden, Joseph R Jr",Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; United States International Relations,Hamas,https://www.nytimes.com/video/us/politics/100000009122678/biden-israel-gaza-attack.html,The president vowed that the United States “will not ever fail” to support Israel after the country faced an early-morning assault by Palestinian militants.,0
Israel ‘at War’ After Hamas Attacks,2023-10-07 19:44:56+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Defense and Military Forces; Civilian Casualties,Hamas,https://www.nytimes.com/video/world/middleeast/100000009122547/gaza-israel-attack.html,"Prime Minister Benjamin Netanyahu of Israel announced that his country was at war after Palestinian militants launched a large-scale attack, resulting in the reported deaths of hundreds on both sides.",0
Hamas’s Control of Gaza Must End Now,2023-10-07 19:56:48+00:00,"Netanyahu, Benjamin",Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians,Hamas; Likud Party (Israel),https://www.nytimes.com/2023/10/07/opinion/gaza-israel-hamas.html,"Peace can soon follow, as it did after the Yom Kippur War.",1040
