Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
ThomasEWoods,"May 22, 2024 01:20 PM","In Florida, if you support Muslim terror, you will be treated like a Muslim terrorist.  Next session, I will introduce legislation that adds any country that recognizes ""Palestine"" to Floridas list of scrutized countries, with severe limitations on entities from those countries",208,11,10,9953
ComicDaveSmith,"June 28, 2024 09:05 PM","Obviously the story of the day is Biden’s monumentally disastrous performance, and it should be, but can we take a moment to appreciate how unbelievably awful and cowardly Trump’s take on Israel was?  Seriously? Joe Biden, the life long Zionist who is currently funding the",6540,738,664,328267
ComicDaveSmith,"January 27, 2024 11:34 PM","I have admired many aspects of RFK’s campaign. His opposition to Covid tyranny, vax mandates, the Ukraine war and the deep state have been nothing short of heroic.   However, his support for the war in Gaza is disqualifying. We are THE antiwar, non-interventionist party and",4907,483,645,623367
ComicDaveSmith,"March 18, 2024 10:05 PM","Is there a dumber or more pathetically dishonest argument than @RabbiBarclay ‘s here?  What the hell does “self hating” even mean? I don’t hate myself. I’m awesome.  Jews are a people. Israel is a government. I can believe that what Israel is doing, and has done, to the",243,4,26,6713
ComicDaveSmith,"October 10, 2023 07:20 PM",If anyone spoke this way about Israeli children as they were being slaughtered what would your reaction be?,9284,1395,609,595725
ComicDaveSmith,"June 12, 2024 03:53 PM","One of the quickest IQ tests on Twitter is when you make a logical analogy and someone responds with “those two situations aren’t exactly the same!”  Also, this guy just compared Hamas to the Nazis. See “DIFFERENT” is ok when you’re justifying the mass slaughter of babies.",1166,90,224,88314
ComicDaveSmith,"November 10, 2023 01:08 PM","Oh my god! Right after rigging the 2016 election, installing Trump, creating the Hunter Biden lap top, and blowing up the Nord stream pipeline, Putin ordered Hamas to invade Israel. It all makes perfect sense!",510,25,23,54948
ComicDaveSmith,"November 10, 2023 12:46 PM",Consider the possibility that Putin conspired with Hamas to create the distraction.,267,4,7,22627
ComicDaveSmith,"July 10, 2024 06:50 PM","Seriously? No, not at all. Sabotaging the peace process and then propping up a terrorist organization so that you never have to resume that process is not “funding to become independent” it’s the opposite. And no, they do not share any similarities.",240,10,12,7231
ComicDaveSmith,"July 10, 2024 06:45 PM","Whats the difference between a ""poison pill"" as described here and giving Gaza funding to become independent while expecting they will fail? Dont they look and sound the same?",2285,227,88,177861
FreemansMind96,"September 25, 2024 06:42 AM","Israel First, America Last. That’s the campaign pledge. That’s what we’re getting.",239,79,8,4126
FreemansMind96,"March 26, 2024 08:29 PM",It is blood libel and BS to say Israel is using starvation as a tool of war.,482,35,18,6506
FreemansMind96,"December 07, 2023 06:53 PM","I guess they’re angry with the Israeli apartheid spokeswoman because they’re also upset about the genocide taking place in Palestine    Get a life, amirite?",335,32,18,113991
FreemansMind96,"December 27, 2023 02:58 AM","Everybody can see that you went to Time Square and the skate rink looking for Muslims to harass and provoke so you could stoke hate against antiwar protesters, Muslims, Arabs, and Palestinians. All while the foreign apartheid state you’re acting on behalf of commits this genocide",248,4,9,3929
HannahDCox,"November 16, 2023 12:48 PM",Not a SINGLE immigrant who has walked across our border has ever committed a SINGLE act of terrorism.  The vast majority of fentanyl is brought by US citizens.  How do these utter hacks have platforms?,380,58,19,11303
HannahDCox,"October 18, 2023 03:03 PM","I’ll never understand how AOC became so prominent on the left, she’s not particularly smart - even for a congresswoman.  A ceasefire, and a peace deal, and an end to the open air prison conditions in Gaza are all great in theory - most people want that. The reality is none of",226,15,10,9975
MsLaToshaBrown,"July 23, 2024 01:31 AM",Thank you @POTUS. I’ll never forget your words & support when my son died. You will go down in history as one of the most effective Presidents in modern history. While I disagree with your Gaza policy I can say you are one of the most empathetic and impactful leaders in the U.S.,3726,501,42,29887
RonFilipkowski,"August 20, 2024 04:34 PM",On US peace negotiations between Israel and Gaza: “The reporting is that former President Trump is on the phone with the PM of Israel urging him not to cut a deal right now because it’s believed that would help the Harris campaign.”,34702,18719,4781,10771975
RonFilipkowski,"October 23, 2023 04:31 PM","In Israel with a bipartisan delegation of US Senators, Lindsey Graham goes off on a Newsmax reporter asking him to condemn Rashida Tlaib: “You’re not going to screw this up! Get this guy out of here!”",3040,599,306,552259
RonFilipkowski,"July 25, 2024 04:56 PM",The Republican Party wants to give Benjamin Netanyahu a blank check to do whatever he wants in Gaza with no oversight or questions asked. The fact that most Democrats disagree with that does not make them anti-Semitic. A large percentage of Jewish Democrats disagree with that.,2359,701,250,58602
RonFilipkowski,"December 21, 2023 09:39 PM",Javanka on scene to negotiate an end to the conflict in Israel.,4799,762,2130,526498
RonFilipkowski,"March 19, 2024 11:20 PM",Kushner Kleanup Time: Please ignore my previous comments that waterfront property in Gaza “could be very valuable.” I’m all about the welfare of the Palestinian people. Thank you. End of statement.,1106,315,79,54148
