headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
"Blinken meets with Netanyahu, hoping to stave off an Israeli assault on Rafah.",2024-05-01 05:54:43+00:00,"Blinken, Antony J; Netanyahu, Benjamin",Israel; Gaza Strip,Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/05/01/world/middleeast/blinken-netanyahu-israel-gaza.html,"President Biden is pushing Hamas to release some hostages for a six-week cease-fire, but Prime Minister Benjamin Netanyahu says he will do a major assault in Rafah “with or without” a deal.",532
Police Arrest Columbia Protesters Occupying Hamilton Hall,2024-05-01 07:13:10+00:00,,,"Demonstrations, Protests and Riots; Colleges and Universities; Police; Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- )",Columbia University,https://www.nytimes.com/video/us/100000009442290/columbia-protest-police-new-york.html,Officers entered the building through a second-floor window using a bridge on top of an emergency service vehicle.,0
Columbia Said It Had ‘No Choice’ but to Call the Police,2024-05-01 07:54:11+00:00,"Shafik, Nemat; Adams, Eric L","Israel; Gaza Strip; New York City; Morningside Heights (Manhattan, NY)","Israel-Gaza War (2023- ); Demonstrations, Protests and Riots; Colleges and Universities; Pro-Palestinian Campus Protests (2023- )",Columbia University; Police Department (NYC),https://www.nytimes.com/2024/05/01/nyregion/columbia-university-protests-arrests.html,"Columbia’s president expressed regret about calling in the police to clear a previous protest. On Tuesday, she said she had “no choice” after protesters occupied a building on campus.",1265
‘Where Is the Palestinian Gandhi?’,2024-05-01 09:02:54+00:00,"Amro, Issa",Hebron (West Bank); West Bank; Gaza Strip; Jerusalem (Israel); Israel,"Palestinians; Content Type: Personal Profile; Israel-Gaza War (2023- ); Demonstrations, Protests and Riots; Israeli Settlements; Politics and Government; internal-truncator",,https://www.nytimes.com/2024/05/01/magazine/issa-amro-palestinian-nonviolent-activist.html,"Issa Amro, who has been arrested and beaten for simple acts of defiance, is trying to pursue nonviolent resistance in the West Bank at a time when violence has become inescapable.",5172
A Huge Gender Gap Is Emerging Among Young Voters,2024-05-01 09:03:45+00:00,"Biden, Joseph R Jr; Trump, Donald J",,Youth; Presidential Election of 2024; Polls and Public Opinion; Men and Boys; United States Politics and Government; Generation Z; Israel-Gaza War (2023- ); United States International Relations; Women and Girls,Democratic Party,https://www.nytimes.com/2024/05/01/opinion/biden-younger-voters-gender.html,"The oldest president is in big trouble with the youngest voters, especially men.",2726
"In a Portland Library, Activists Fortify for a Standoff",2024-05-01 13:02:29+00:00,,Portland (Ore),"Demonstrations, Protests and Riots; Libraries and Librarians; Colleges and Universities; Israel-Gaza War (2023- ); Palestinians; internal-truncator; Pro-Palestinian Campus Protests (2023- )",Portland State University,https://www.nytimes.com/2024/05/01/us/portland-state-university-library-protest.html,"With wood pallets piled at the entrance, dozens of pro-Palestinian activists are holed up in the Portland State University library. Here’s a look inside the makeshift fortress.",705
Some Gazans Say U.S. Campus Protests Give Them ‘Hope’,2024-05-01 14:02:20+00:00,,Gaza Strip; United States,"Israel-Gaza War (2023- ); Demonstrations, Protests and Riots; Palestinians; Colleges and Universities; Pro-Palestinian Campus Protests (2023- )",,https://www.nytimes.com/2024/05/01/world/middleeast/us-college-protests-gaza-palestinians.html,"The protests have come at a fearful time for Palestinians in Rafah, with Prime Minister Benjamin Netanyahu of Israel vowing to launch a ground invasion of the city.",375
Eric Adams Seizes Role as Face of the Crackdown on Student Protests,2024-05-01 15:09:17+00:00,"Adams, Eric L",New York City,"Demonstrations, Protests and Riots; Colleges and Universities; Police; Anti-Semitism; Elections, Mayors; Israel-Gaza War (2023- ); Palestinians; Pro-Palestinian Campus Protests (2023- )",Columbia University; City College of New York; Police Department (NYC); Hamas,https://www.nytimes.com/2024/05/01/nyregion/eric-adams-columbia-protests.html,Mayor Eric Adams of New York defended the arrests of nearly 300 protesters and said he would not allow the protests to disrupt the city.,1229
Counterprotesters Storm U.C.L.A. Pro-Palestinian Encampment,2024-05-01 15:24:45+00:00,,,"Colleges and Universities; Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- )","University of California, Los Angeles",https://www.nytimes.com/video/us/100000009442577/ucla-campus-protest-clashes-gaza-israel.html,"Violence broke out as counterprotesters attempted to pull down barricades at a pro-Palestinian encampment at the University of California, Los Angeles.",0
Judging the Justices on the Presidential Immunity Case,2024-05-01 16:59:03+00:00,"Trump, Donald J",,"Immunity from Prosecution; Courts and the Judiciary; United States Politics and Government; Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Trees and Shrubs; Suburbs; Children and Childhood",Supreme Court (US); Columbia University,https://www.nytimes.com/2024/05/01/opinion/supreme-court-presidential-immunity.html,Responses to articles about the case before the Supreme Court. Also: Perspectives on the campus protests; how children value trees as homes for animals.,1071
The Police Clear Pro-Palestinian Protest at Tulane University,2024-05-01 18:18:09+00:00,,New Orleans (La),"Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Colleges and Universities; Police; Pro-Palestinian Campus Protests (2023- )",Tulane University,https://www.nytimes.com/video/us/100000009443036/tulane-university-new-orleans-protest-israel-gaza.html,"More than a dozen people were arrested at an encampment on the campus of Tulane University in New Orleans, the university said.",0
