headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Monday Briefing,2024-04-01 04:01:32+00:00,,,,,https://www.nytimes.com/2024/04/01/briefing/israel-protest-russia-defector-killing.html,Protests against Israel’s prime minister.,1157
"The Two-State Solution Is an Unjust, Impossible Fantasy",2024-04-01 09:02:37+00:00,,Israel; Gaza Strip,"Israel-Gaza War (2023- ); Palestinians; Israeli Settlements; Human Rights and Human Rights Violations; War Crimes, Genocide and Crimes Against Humanity; Politics and Government; Peace Process; Zionism; United States International Relations",,https://www.nytimes.com/2024/04/01/opinion/two-state-solution-israel-palestine.html,"For Palestinians, American calls for a two-state solution ring hollow.",1751
The War in Gaza and the Emerging Rift in American Jewish Life,2024-04-01 09:04:51+00:00,,Israel; Gaza Strip,"audio-neutral-informative; Jews and Judaism; Zionism; Israel-Gaza War (2023- ); Liberalism (US Politics); United States International Relations; Palestinians; Anti-Semitism; Demonstrations, Protests and Riots; United States Politics and Government",Hamas,https://www.nytimes.com/2024/04/01/opinion/jewish-liberalism.html,A conversation on whether liberalism and Zionism can continue to coexist for American Jews.,2447
Israeli troops pull out of a major Gaza hospital after a two-week battle.,2024-04-01 09:10:04+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians,Al Shifa Hospital (Gaza Strip); Hamas,https://www.nytimes.com/2024/04/01/world/middleeast/gaza-al-shifa-hospital.html,"The soldiers left widespread devastation after battles with Palestinian militants in and around the Al-Shifa complex. “Now it looks like a wasteland,” a surgeon at the hospital said.",768
Cease-Fire Talks to Confront How Displaced Palestinians Can Return,2024-04-01 11:39:20+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Peace Process; International Relations; Refugees and Displaced Persons,Hamas,https://www.nytimes.com/2024/04/01/world/middleeast/ceasefire-talks-palestinians.html,"Many Palestinians from northern Gaza are now sheltering in the south, but they want to return home.",627
"Outside Israel’s Parliament, Protesters Explain Why They Think Netanyahu Must Go",2024-04-01 13:55:06+00:00,"Netanyahu, Benjamin",Jerusalem (Israel),"Demonstrations, Protests and Riots; Israel-Gaza War (2023- )",,https://www.nytimes.com/2024/04/01/world/middleeast/protests-benjamin-netanyahu.html,A tent camp is a temporary home for some of the thousands of Israelis who are mounting a four-day protest calling for early elections to oust the Israeli prime minister.,472
Trump’s Call for Israel to ‘Finish Up’ War Alarms Some on the Right,2024-04-01 15:09:14+00:00,"Trump, Donald J; Bolton, John R; Netanyahu, Benjamin; Friedman, David M (1958- ); Kushner, Jared",Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; United States International Relations,Israel Hayom; Hamas,https://www.nytimes.com/2024/04/01/us/politics/trump-israel-conservative.html,"Recent remarks he made urging an end to the Gaza conflict, with no insistence on freeing Israeli hostages first, were another departure from conservatives’ support for Benjamin Netanyahu.",1346
Pressure Is Building on Netanyahu From All Sides,2024-04-01 17:59:44+00:00,,,"Israel-Gaza War (2023- ); Palestinians; International Relations; Demonstrations, Protests and Riots; Kidnapping and Hostages; Civilian Casualties; Terrorism; Polls and Public Opinion; Orthodox Judaism",,https://www.nytimes.com/2024/04/01/world/middleeast/netanyahu-protest-pressure.html,"The prime minister is being pulled in opposing directions by his coalition partners, Israeli public opinion and allies abroad, with the war in Gaza and his political future in the balance.",619
"Top Iranian Commanders Killed in Airstrike in Syria, State Media Says",2024-04-01 18:05:07+00:00,"Zahedi, Mohamad Reza (1960-2024)",Iran; Damascus (Syria); Israel,Israel-Gaza War (2023- ); Iran-Israel Proxy Conflict,Islamic Revolutionary Guards Corps,https://www.nytimes.com/video/world/middleeast/100000009391230/damascus-strike-iran-syria.html,"The site of a strike close to an Iranian compound in Damascus, Syria.",0
3 Top Iranian Commanders Are Reported Killed in Israeli Strike in Syria,2024-04-01 20:55:15+00:00,"Zahedi, Mohamad Reza (1960-2024)",Israel; Iran; Syria; Damascus (Syria),"Iran-Israel Proxy Conflict; Israel-Gaza War (2023- ); Diplomatic Service, Embassies and Consulates",Quds Force; Islamic Revolutionary Guards Corps; Hamas; Hezbollah; Palestinian Islamic Jihad; Al Shifa Hospital (Gaza Strip),https://www.nytimes.com/2024/04/01/world/middleeast/iran-commanders-killed-syria-israel.html,The airstrike on an Iranian Embassy building was one of the biggest attacks yet in a shadow war that has increasingly been moving into the open.,1411
"Israeli Army Withdraws From Major Gaza Hospital, Leaving Behind a Wasteland",2024-04-02 04:01:24+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Hospitals; Defense and Military Forces; Palestinians; Civilian Casualties; Refugees and Displaced Persons; Terrorism,Al Shifa Hospital (Gaza Strip); Hamas,https://www.nytimes.com/2024/04/02/world/middleeast/gaza-al-shifa-hospital.html,"Al-Shifa Hospital lies in ruins after a battle there between Israeli soldiers and Gazan gunmen. Shortly before withdrawing, the Israeli military brought journalists from The Times to witness the damage.",1609
World Central Kitchen Has Fed People in Disaster and War Zones Around the Globe,2024-04-02 08:57:32+00:00,,Israel; Gaza Strip,Humanitarian Aid; Nonprofit Organizations; Disasters and Emergencies; Food Aid; Israel-Gaza War (2023- ),World Central Kitchen,https://www.nytimes.com/2024/04/02/world/middleeast/what-is-world-central-kitchen.html,"The group is a relatively new aid provider in Gaza, but it has garnered notice by making bold moves, like building a jetty out of rubble to bring aid in by sea.",580
