Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
msnbc,"October 10, 2023 06:43 PM","President Biden calls Hamas terrorist attacks “sheer evil” and vows “we stand with Israel” as 14 Americans killed.   ""There are moments in this life.  when the pure, unadulterated evil is unleashed on this world. The people of Israel lived through one such moment this weekend.""",1455,455,341,99437
msnbc,"October 20, 2023 07:03 PM","BREAKING:  Two American hostages held by Hamas have been released and are back in Israel.  The two women released, Natalie and Judith Raanan, are members of former NBC News Tel Aviv bureau chief Martin Fletcher’s family.  Martin calls it “a miracle.”",1676,443,239,270198
msnbc,"January 08, 2024 06:00 PM",WATCH: Protestors interrupt President Bidens speech calling for a ceasefire in Gaza,7295,3338,860,5150281
msnbc,"October 11, 2023 03:28 PM","Defense Secretary Austin gives update on Israel:  “As President Biden has said, for any country, for any organization, for anyone thinking of trying to take advantage of the agony in Israel to try and widen this conflict or to spill more blood, we have just one word: don’t.”",1163,318,240,53651
msnbc,"October 10, 2023 06:47 PM","Biden: ""This is terrorism. But sadly for the Jewish people, its not new. The attack has brought to the surface painful memories, the scars led by a millennia of anti semitism and genocide of the Jewish people. So in this moment we must be crystal clear: We stand with Israel.""",2352,636,265,122041
JudiciaryGOP,"May 15, 2024 07:44 PM","Shabbos Kestenbaum, a Jewish graduate student at Harvard, details his harrowing experiences over the last 3 weeks on campus.",1913,667,649,407508
MSNBC,"October 13, 2023 07:22 PM",NEW: 70 killed after Israeli strikes hit three convoys of evacuees trying to leave northern Gaza.,27977,21462,3503,43891025
MSNBC,"October 11, 2023 09:06 PM",Pres. Biden on Hamas terror attack: “The deadliest day for Jews since the Holocaust. Silence is complicity…I refuse to be silent.”,5458,1390,505,621241
politico,"July 19, 2024 12:42 PM","These trauma surgeons thought they’d seen the worst of the worst. But nothing they’d experienced prepared them for the horrors they found in Gaza, as civilians and children suffer under Israel’s bombing campaign.  Two weeks inside a Gaza hospital",10932,7638,188,3877880
joncoopertweets,"March 13, 2024 01:10 PM","Below is a current list of House members who’ve signed the discharge petition to force a vote on the Senates bipartisan Ukraine-Israel-Taiwan aid bill. 218 signatures are needed.   If your rep isn’t listed, call 202-224-3121 TODAY and urge them to sign!",2020,1203,90,81748
joncoopertweets,"February 03, 2024 09:18 PM",Military aid to Israel and Ukraine should be coupled together. Putin apologist Mike Johnson can go screw himself.,1447,234,50,52193
joncoopertweets,"March 02, 2024 01:56 PM",Putin sacrificed Russia to save himself.  Netanyahu sacrificed Israel to save himself.  Trump is happily sacrificing America to save himself.,19247,5526,909,459018
joncoopertweets,"March 22, 2024 05:21 PM","Here’s a list of House members who’ve signed the discharge petition to force a vote on the Senates bipartisan Ukraine-Israel-Taiwan aid bill. 191 signatures now — 218 are needed.   If your rep isn’t listed, call 202-224-3121 TODAY and urge them to sign!",1001,579,40,39817
CNN,"October 17, 2023 09:16 PM","Israel denies responsibility for Gaza hospital blast, blaming an Islamic Jihad ""failed rocket launch."" Hundreds are believed to have been killed.",1925,744,3784,2043394
justinamash,"July 29, 2024 06:06 PM","I just received a panicked phone call from a cousin in Gaza. He told me that there has been another IDF strike against Saint Porphyrius Orthodox Church.  These horrific assaults against civilians in Gaza, including Christians like members of my family, must end immediately!",9549,2986,310,459961
justinamash,"July 23, 2024 01:56 AM","One of the most meaningful and emotionally stirring messages I have ever received came to me this past week from a cousin in Gaza.  Despite all the horrors they are going through—the destruction of their lives, the deaths of their family members—he was praying for me.  Praying",1709,252,57,68970
justinamash,"October 23, 2023 05:51 PM","In this video, provided to me by a relative on site, you can see the destruction at Saint Porphyrius Orthodox Church in Gaza. The ancient sanctuary remains standing, but the church annex, which includes offices and meeting spaces for the Christian community, collapsed from an",16296,5449,1170,2638803
justinamash,"March 30, 2024 08:05 PM",.@RepWalberg’s comments evince an utter indifference to human suffering. The people of Gaza are our fellow human beings—many of them children trapped in horrific circumstances beyond their individual control. For him to suggest that hundreds of thousands of innocent Palestinians,1702,488,69,127500
justinamash,"March 30, 2024 07:08 PM",Video appears to show Tim Walberg calling for nuclear bombs to be dropped on Gaza …,26491,6264,415,1205846
justinamash,"February 13, 2024 07:46 PM",Then Israel can plan and conduct their military operations without our money and assistance. You can’t have it both ways.,12326,2332,416,1617367
LPNational,"October 26, 2023 01:48 PM","If you opposed the Patriot Act and invasion of Iraq, they called you anti-American.  If you opposed the lockdowns and vaccine mandates, they called you antiscience.  If you oppose endless funding for Israel, they call you antisemitic.  Ignore their lies and preserve your liberty.",1876,456,40,50370
